season,date,home_team,away_team,home_team_goal,away_team_goal
2008/2009,2008-08-23 00:00:00,Sporting CP,Trofense,3,1
2008/2009,2008-09-01 00:00:00,SC Braga,Sporting CP,0,1
2008/2009,2008-09-20 00:00:00,Sporting CP,CF Os Belenenses,2,0
2008/2009,2008-09-27 00:00:00,SL Benfica,Sporting CP,2,0
2008/2009,2008-10-05 00:00:00,Sporting CP,FC Porto,1,2
2008/2009,2008-10-26 00:00:00,FC Paços de Ferreira,Sporting CP,0,0
2008/2009,2008-11-01 00:00:00,Rio Ave FC,Sporting CP,0,1
2008/2009,2008-11-15 00:00:00,Sporting CP,Leixões SC,0,1
2008/2009,2008-11-22 00:00:00,Naval 1° de Maio,Sporting CP,0,1
2008/2009,2008-11-30 00:00:00,Sporting CP,Vitória Guimarães,2,0
2008/2009,2008-12-05 00:00:00,Amadora,Sporting CP,1,3
2008/2009,2008-12-20 00:00:00,Sporting CP,Académica de Coimbra,0,0
2008/2009,2009-01-03 00:00:00,Vitória Setúbal,Sporting CP,0,2
2008/2009,2009-01-10 00:00:00,Sporting CP,CS Marítimo,2,0
2008/2009,2009-01-24 00:00:00,CD Nacional,Sporting CP,1,1
2008/2009,2009-01-31 00:00:00,Trofense,Sporting CP,0,0
2008/2009,2009-02-08 00:00:00,Sporting CP,SC Braga,2,3
2008/2009,2009-02-14 00:00:00,CF Os Belenenses,Sporting CP,1,2
2008/2009,2009-02-21 00:00:00,Sporting CP,SL Benfica,3,2
2008/2009,2009-02-28 00:00:00,FC Porto,Sporting CP,0,0
2008/2009,2009-03-07 00:00:00,Sporting CP,FC Paços de Ferreira,2,0
2008/2009,2009-03-14 00:00:00,Sporting CP,Rio Ave FC,2,0
2008/2009,2009-04-05 00:00:00,Leixões SC,Sporting CP,0,1
2008/2009,2009-04-11 00:00:00,Sporting CP,Naval 1° de Maio,3,1
2008/2009,2009-04-18 00:00:00,Vitória Guimarães,Sporting CP,1,2
2008/2009,2009-04-25 00:00:00,Sporting CP,Amadora,2,1
2008/2009,2009-05-02 00:00:00,Académica de Coimbra,Sporting CP,0,0
